tax_order,tax_suborder,tax_greatgroup,tax_subgroup
alfisol,acualf,albacualf,albacualf t¡pico
alfisol,acualf,albacualf,albacualf ud¢lico
alfisol,acualf,albacualf,albacualf £mbrico
alfisol,acualf,albacualf,albacualf v‚rtico
alfisol,acualf,albacualf,albacualf m¢lico
alfisol,acualf,albacualf,albacualf ar‚nico
alfisol,acualf,albacualf,albacualf v‚rtico cr¢mico
alfisol,acualf,albacualf,albacualf a‚rico
alfisol,acualf,albacualf,albacualf v‚rtico a‚rico
alfisol,acualf,albacualf,albacualf acu ndico
alfisol,acualf,criacualf,criacualf t¡pico
alfisol,acualf,duracualf,duracualf t¡pico
alfisol,acualf,endoacualf,endoacualf t¡pico
alfisol,acualf,endoacualf,endoacualf ud¢lico
alfisol,acualf,endoacualf,endoacualf £mbrico
alfisol,acualf,endoacualf,endoacualf v‚rtico
alfisol,acualf,endoacualf,endoacualf grossar‚nico
alfisol,acualf,endoacualf,endoacualf m¢lico
alfisol,acualf,endoacualf,endoacualf ar‚nico
alfisol,acualf,endoacualf,endoacualf v‚rtico cr¢mico
alfisol,acualf,endoacualf,endoacualf fr gico
alfisol,acualf,endoacualf,endoacualf a‚rico
alfisol,acualf,endoacualf,endoacualf fr gico a‚rico
alfisol,acualf,endoacualf,endoacualf £mbrico a‚rico
alfisol,acualf,endoacualf,endoacualf acu ndico
alfisol,acualf,epiacualf,epiacualf t¡pico
alfisol,acualf,epiacualf,epiacualf ud¢lico
alfisol,acualf,epiacualf,epiacualf £mbrico
alfisol,acualf,epiacualf,epiacualf v‚rtico
alfisol,acualf,epiacualf,epiacualf grossar‚nico
alfisol,acualf,epiacualf,epiacualf m¢lico
alfisol,acualf,epiacualf,epiacualf ar‚nico
alfisol,acualf,epiacualf,epiacualf v‚rtico cr¢mico
alfisol,acualf,epiacualf,epiacualf fr gico
alfisol,acualf,epiacualf,epiacualf v‚rtico cr¢mico a‚rico
alfisol,acualf,epiacualf,epiacualf a‚rico
alfisol,acualf,epiacualf,epiacualf fr gico a‚rico
alfisol,acualf,epiacualf,epiacualf £mbrico a‚rico
alfisol,acualf,epiacualf,epiacualf v‚rtico a‚rico
alfisol,acualf,epiacualf,epiacualf acu ndico
alfisol,acualf,fragiacualf,fragiacualf t¡pico
alfisol,acualf,fragiacualf,fragiacualf v‚rmico
alfisol,acualf,fragiacualf,fragiacualf pl¡ntico
alfisol,acualf,fragiacualf,fragiacualf h£mico
alfisol,acualf,fragiacualf,fragiacualf a‚rico
alfisol,acualf,glossacualf,glossacualf t¡pico
alfisol,acualf,glossacualf,glossacualf m¢lico
alfisol,acualf,glossacualf,glossacualf ar‚nico
alfisol,acualf,glossacualf,glossacualf fr gico
alfisol,acualf,glossacualf,glossacualf h¡stico
alfisol,acualf,glossacualf,glossacualf fr gico a‚rico
alfisol,acualf,glossacualf,glossacualf a‚rico
alfisol,acualf,kandiacualf,kandiacualf t¡pico
alfisol,acualf,kandiacualf,kandiacualf £mbrico
alfisol,acualf,kandiacualf,kandiacualf grossar‚nico
alfisol,acualf,kandiacualf,kandiacualf pl¡ntico
alfisol,acualf,kandiacualf,kandiacualf ar‚nico
alfisol,acualf,kandiacualf,kandiacualf a‚rico
alfisol,acualf,kandiacualf,kandiacualf £mbrico a‚rico
alfisol,acualf,natracualf,natracualf t¡pico
alfisol,acualf,natracualf,natracualf v‚rmico
alfisol,acualf,natracualf,natracualf v‚rtico
alfisol,acualf,natracualf,natracualf gl¢ssico
alfisol,acualf,natracualf,natracualf m¢lico
alfisol,acualf,natracualf,natracualf gl¢ssico  lbico
alfisol,acualf,natracualf,natracualf  lbico
alfisol,acualf,plintacualf,plintacualf t¡pico
alfisol,acualf,vermacualf,vermacualf t¡pico
alfisol,acualf,vermacualf,vermacualf n trico
alfisol,crialf,glossocrialf,glossocrialf t¡pico
alfisol,crialf,glossocrialf,glossocrialf £mbrico
alfisol,crialf,glossocrialf,glossocrialf x‚rico £mbrico
alfisol,crialf,glossocrialf,glossocrialf £stico
alfisol,crialf,glossocrialf,glossocrialf ust¢lico
alfisol,crialf,glossocrialf,glossocrialf v‚rtico
alfisol,crialf,glossocrialf,glossocrialf vitr ndico
alfisol,crialf,glossocrialf,glossocrialf l¡tico
alfisol,crialf,glossocrialf,glossocrialf m¢lico
alfisol,crialf,glossocrialf,glossocrialf oxi cuico
alfisol,crialf,glossocrialf,glossocrialf  cuico
alfisol,crialf,glossocrialf,glossocrialf ‚utrico
alfisol,crialf,glossocrialf,glossocrialf fr gico
alfisol,crialf,glossocrialf,glossocrialf x‚rico
alfisol,crialf,glossocrialf,glossocrialf xer¢lico
alfisol,crialf,glossocrialf,glossocrialf  ndico
alfisol,crialf,haplocrialf,haplocrialf t¡pico
alfisol,crialf,haplocrialf,haplocrialf £mbrico
alfisol,crialf,haplocrialf,haplocrialf x‚rico £mbrico
alfisol,crialf,haplocrialf,haplocrialf £stico
alfisol,crialf,haplocrialf,haplocrialf ust¢lico
alfisol,crialf,haplocrialf,haplocrialf v‚rtico
alfisol,crialf,haplocrialf,haplocrialf vitr ndico
alfisol,crialf,haplocrialf,haplocrialf l¡tico
alfisol,crialf,haplocrialf,haplocrialf m¢lico
alfisol,crialf,haplocrialf,haplocrialf oxi cuico
alfisol,crialf,haplocrialf,haplocrialf psamm‚ntico
alfisol,crialf,haplocrialf,haplocrialf  cuico
alfisol,crialf,haplocrialf,haplocrialf ‚utrico
alfisol,crialf,haplocrialf,haplocrialf x‚rico
alfisol,crialf,haplocrialf,haplocrialf xer¢lico
alfisol,crialf,haplocrialf,haplocrialf inc‚ptico
alfisol,crialf,haplocrialf,haplocrialf lam‚lico
alfisol,crialf,haplocrialf,haplocrialf  ndico
alfisol,crialf,palecrialf,palecrialf t¡pico
alfisol,crialf,palecrialf,palecrialf £mbrico
alfisol,crialf,palecrialf,palecrialf £stico
alfisol,crialf,palecrialf,palecrialf vitr ndico
alfisol,crialf,palecrialf,palecrialf m¢lico
alfisol,crialf,palecrialf,palecrialf oxi cuico
alfisol,crialf,palecrialf,palecrialf  cuico
alfisol,crialf,palecrialf,palecrialf x‚rico
alfisol,crialf,palecrialf,palecrialf  ndico
alfisol,udalf,ferrudalf,ferrudalf t¡pico
alfisol,udalf,ferrudalf,ferrudalf  cuico
alfisol,udalf,fragiudalf,fragiudalf t¡pico
alfisol,udalf,fragiudalf,fragiudalf vitr ndico
alfisol,udalf,fragiudalf,fragiudalf oxi cuico
alfisol,udalf,fragiudalf,fragiudalf  cuico
alfisol,udalf,fragiudalf,fragiudalf  ndico
alfisol,udalf,fraglossudalf,fraglossudalf t¡pico
alfisol,udalf,fraglossudalf,fraglossudalf vitr ndico
alfisol,udalf,fraglossudalf,fraglossudalf oxi cuico
alfisol,udalf,fraglossudalf,fraglossudalf  cuico
alfisol,udalf,fraglossudalf,fraglossudalf  ndico
alfisol,udalf,glossudalf,glossudalf t¡pico
alfisol,udalf,glossudalf,glossudalf v‚rtico
alfisol,udalf,glossudalf,glossudalf vitr ndico
alfisol,udalf,glossudalf,glossudalf h plico
alfisol,udalf,glossudalf,glossudalf oxi cuico
alfisol,udalf,glossudalf,glossudalf v‚rtico oxi cuico
alfisol,udalf,glossudalf,glossudalf  cuico
alfisol,udalf,glossudalf,glossudalf ar‚nico
alfisol,udalf,glossudalf,glossudalf oxi cuico ar‚nico
alfisol,udalf,glossudalf,glossudalf fragi cuico
alfisol,udalf,glossudalf,glossudalf fr gico
alfisol,udalf,glossudalf,glossudalf  ndico
alfisol,udalf,glossudalf,glossudalf acu ndico
alfisol,udalf,glossudalf,glossudalf acu‚rtico
alfisol,udalf,glossudalf,glossudalf ar‚nico  cuico
alfisol,udalf,hapludalf,hapludalf t¡pico
alfisol,udalf,hapludalf,hapludalf £ltico
alfisol,udalf,hapludalf,hapludalf v‚rtico
alfisol,udalf,hapludalf,hapludalf vitr ndico
alfisol,udalf,hapludalf,hapludalf gl¢ssico
alfisol,udalf,hapludalf,hapludalf l¡tico
alfisol,udalf,hapludalf,hapludalf m¢lico
alfisol,udalf,hapludalf,hapludalf oxi cuico m¢lico
alfisol,udalf,hapludalf,hapludalf oxi cuico
alfisol,udalf,hapludalf,hapludalf v‚rtico oxi cuico
alfisol,udalf,hapludalf,hapludalf psamm‚ntico
alfisol,udalf,hapludalf,hapludalf  cuico
alfisol,udalf,hapludalf,hapludalf acu¢lico
alfisol,udalf,hapludalf,hapludalf ac£ltico
alfisol,udalf,hapludalf,hapludalf ar‚nico
alfisol,udalf,hapludalf,hapludalf oxi cuico ar‚nico
alfisol,udalf,hapludalf,hapludalf v‚rtico cr¢mico
alfisol,udalf,hapludalf,hapludalf fragi cuico
alfisol,udalf,hapludalf,hapludalf fr gico
alfisol,udalf,hapludalf,hapludalf oxi cuico fr gico
alfisol,udalf,hapludalf,hapludalf gloss cuico
alfisol,udalf,hapludalf,hapludalf inc‚ptico
alfisol,udalf,hapludalf,hapludalf lam‚lico
alfisol,udalf,hapludalf,hapludalf alb cuico
alfisol,udalf,hapludalf,hapludalf albac£ltico
alfisol,udalf,hapludalf,hapludalf  ndico
alfisol,udalf,hapludalf,hapludalf antr cuico
alfisol,udalf,hapludalf,hapludalf cr¢mico acu‚rtico
alfisol,udalf,hapludalf,hapludalf acu‚rtico
alfisol,udalf,hapludalf,hapludalf ar‚nico  cuico
alfisol,udalf,kandiudalf,kandiudalf t¡pico
alfisol,udalf,kandiudalf,kandiudalf grossar‚nico
alfisol,udalf,kandiudalf,kandiudalf pl¡ntico grossar‚nico
alfisol,udalf,kandiudalf,kandiudalf m¢lico
alfisol,udalf,kandiudalf,kandiudalf oxi cuico
alfisol,udalf,kandiudalf,kandiudalf plint cuico
alfisol,udalf,kandiudalf,kandiudalf pl¡ntico
alfisol,udalf,kandiudalf,kandiudalf r¢dico
alfisol,udalf,kandiudalf,kandiudalf  cuico
alfisol,udalf,kandiudalf,kandiudalf ar‚nico
alfisol,udalf,kandiudalf,kandiudalf pl¡ntico ar‚nico
alfisol,udalf,kanhapludalf,kanhapludalf t¡pico
alfisol,udalf,kanhapludalf,kanhapludalf l¡tico
alfisol,udalf,kanhapludalf,kanhapludalf oxi cuico
alfisol,udalf,kanhapludalf,kanhapludalf r¢dico
alfisol,udalf,kanhapludalf,kanhapludalf  cuico
alfisol,udalf,natrudalf,natrudalf t¡pico
alfisol,udalf,natrudalf,natrudalf v‚rtico
alfisol,udalf,natrudalf,natrudalf  cuico
alfisol,udalf,natrudalf,natrudalf gloss cuico
alfisol,udalf,paleudalf,paleudalf t¡pico
alfisol,udalf,paleudalf,paleudalf v‚rtico
alfisol,udalf,paleudalf,paleudalf vitr ndico
alfisol,udalf,paleudalf,paleudalf gl¢ssico
alfisol,udalf,paleudalf,paleudalf grossar‚nico
alfisol,udalf,paleudalf,paleudalf pl¡ntico grossar‚nico
alfisol,udalf,paleudalf,paleudalf m¢lico
alfisol,udalf,paleudalf,paleudalf oxi cuico
alfisol,udalf,paleudalf,paleudalf plint cuico
alfisol,udalf,paleudalf,paleudalf pl¡ntico
alfisol,udalf,paleudalf,paleudalf psamm‚ntico
alfisol,udalf,paleudalf,paleudalf r¢dico
alfisol,udalf,paleudalf,paleudalf  cuico
alfisol,udalf,paleudalf,paleudalf ar‚nico
alfisol,udalf,paleudalf,paleudalf pl¡ntico ar‚nico
alfisol,udalf,paleudalf,paleudalf fragi cuico
alfisol,udalf,paleudalf,paleudalf fr gico
alfisol,udalf,paleudalf,paleudalf gloss cuico
alfisol,udalf,paleudalf,paleudalf lam‚lico
alfisol,udalf,paleudalf,paleudalf alb cuico
alfisol,udalf,paleudalf,paleudalf  ndico
alfisol,udalf,paleudalf,paleudalf antr cuico
alfisol,udalf,rodudalf,rodudalf t¡pico
alfisol,ustalf,durustalf,durustalf t¡pico
alfisol,ustalf,haplustalf,haplustalf torr‚rtico
alfisol,ustalf,haplustalf,haplustalf t¡pico
alfisol,ustalf,haplustalf,haplustalf ud‚rtico
alfisol,ustalf,haplustalf,haplustalf £dico
alfisol,ustalf,haplustalf,haplustalf £ltico
alfisol,ustalf,haplustalf,haplustalf v‚rtico
alfisol,ustalf,haplustalf,haplustalf vitr ndico
alfisol,ustalf,haplustalf,haplustalf l¡tico
alfisol,ustalf,haplustalf,haplustalf oxi cuico
alfisol,ustalf,haplustalf,haplustalf v‚rtico oxi cuico
alfisol,ustalf,haplustalf,haplustalf psamm‚ntico
alfisol,ustalf,haplustalf,haplustalf  cuico
alfisol,ustalf,haplustalf,haplustalf ac£ltico
alfisol,ustalf,haplustalf,haplustalf ar¡dico ar‚nico
alfisol,ustalf,haplustalf,haplustalf ar‚nico
alfisol,ustalf,haplustalf,haplustalf ar¡dico
alfisol,ustalf,haplustalf,haplustalf c lcico
alfisol,ustalf,haplustalf,haplustalf £dico c lcico
alfisol,ustalf,haplustalf,haplustalf calc¡dico
alfisol,ustalf,haplustalf,haplustalf inc‚ptico
alfisol,ustalf,haplustalf,haplustalf kanh plico
alfisol,ustalf,haplustalf,haplustalf lam‚lico
alfisol,ustalf,haplustalf,haplustalf acu‚rtico
alfisol,ustalf,haplustalf,haplustalf ar‚nico  cuico
alfisol,ustalf,kandiustalf,kandiustalf t¡pico
alfisol,ustalf,kandiustalf,kandiustalf £dico
alfisol,ustalf,kandiustalf,kandiustalf grossar‚nico
alfisol,ustalf,kandiustalf,kandiustalf pl¡ntico
alfisol,ustalf,kandiustalf,kandiustalf r¢dico
alfisol,ustalf,kandiustalf,kandiustalf  cuico
alfisol,ustalf,kandiustalf,kandiustalf ar¡dico ar‚nico
alfisol,ustalf,kandiustalf,kandiustalf ar‚nico
alfisol,ustalf,kandiustalf,kandiustalf ar¡dico
alfisol,ustalf,kandiustalf,kandiustalf ar‚nico  cuico
alfisol,ustalf,kanhaplustalf,kanhaplustalf t¡pico
alfisol,ustalf,kanhaplustalf,kanhaplustalf £dico
alfisol,ustalf,kanhaplustalf,kanhaplustalf l¡tico
alfisol,ustalf,kanhaplustalf,kanhaplustalf r¢dico
alfisol,ustalf,kanhaplustalf,kanhaplustalf  cuico
alfisol,ustalf,kanhaplustalf,kanhaplustalf ar¡dico
alfisol,ustalf,natrustalf,natrustalf torr‚rtico
alfisol,ustalf,natrustalf,natrustalf t¡pico
alfisol,ustalf,natrustalf,natrustalf v‚rtico
alfisol,ustalf,natrustalf,natrustalf haplarg¡dico
alfisol,ustalf,natrustalf,natrustalf m¢lico
alfisol,ustalf,natrustalf,natrustalf petroc lcico
alfisol,ustalf,natrustalf,natrustalf sal¡dico
alfisol,ustalf,natrustalf,natrustalf  cuico
alfisol,ustalf,natrustalf,natrustalf ar‚nico
alfisol,ustalf,natrustalf,natrustalf gl¢ssico ar¡dico
alfisol,ustalf,natrustalf,natrustalf l‚ptico ar¡dico
alfisol,ustalf,natrustalf,natrustalf ar¡dico
alfisol,ustalf,natrustalf,natrustalf l‚ptico
alfisol,ustalf,natrustalf,natrustalf torr‚rtico l‚ptico
alfisol,ustalf,natrustalf,natrustalf acu‚rtico
alfisol,ustalf,natrustalf,natrustalf ar‚nico  cuico
alfisol,ustalf,paleustalf,paleustalf t¡pico
alfisol,ustalf,paleustalf,paleustalf ud‚rtico
alfisol,ustalf,paleustalf,paleustalf £dico
alfisol,ustalf,paleustalf,paleustalf £ltico
alfisol,ustalf,paleustalf,paleustalf v‚rtico
alfisol,ustalf,paleustalf,paleustalf grossar‚nico
alfisol,ustalf,paleustalf,paleustalf oxi cuico
alfisol,ustalf,paleustalf,paleustalf v‚rtico oxi cuico
alfisol,ustalf,paleustalf,paleustalf petroc lcico
alfisol,ustalf,paleustalf,paleustalf pl¡ntico
alfisol,ustalf,paleustalf,paleustalf psamm‚ntico
alfisol,ustalf,paleustalf,paleustalf r¢dico
alfisol,ustalf,paleustalf,paleustalf  cuico
alfisol,ustalf,paleustalf,paleustalf ar¡dico ar‚nico
alfisol,ustalf,paleustalf,paleustalf ar‚nico
alfisol,ustalf,paleustalf,paleustalf ar¡dico
alfisol,ustalf,paleustalf,paleustalf calc¡dico
alfisol,ustalf,paleustalf,paleustalf k ndico
alfisol,ustalf,paleustalf,paleustalf lam‚lico
alfisol,ustalf,paleustalf,paleustalf acu‚rtico
alfisol,ustalf,paleustalf,paleustalf ar‚nico  cuico
alfisol,ustalf,plintustalf,plintustalf t¡pico
alfisol,ustalf,rodustalf,rodustalf t¡pico
alfisol,ustalf,rodustalf,rodustalf £dico
alfisol,ustalf,rodustalf,rodustalf l¡tico
alfisol,ustalf,rodustalf,rodustalf kanh plico
alfisol,xeralf,durixeralf,durixeralf t¡pico
alfisol,xeralf,durixeralf,durixeralf v‚rtico
alfisol,xeralf,durixeralf,durixeralf h plico
alfisol,xeralf,durixeralf,durixeralf n trico
alfisol,xeralf,durixeralf,durixeralf abr£ptico
alfisol,xeralf,durixeralf,durixeralf h plico abr£ptico
alfisol,xeralf,durixeralf,durixeralf  cuico
alfisol,xeralf,fragixeralf,fragixeralf t¡pico
alfisol,xeralf,fragixeralf,fragixeralf vitr ndico
alfisol,xeralf,fragixeralf,fragixeralf m¢lico
alfisol,xeralf,fragixeralf,fragixeralf  cuico
alfisol,xeralf,fragixeralf,fragixeralf inc‚ptico
alfisol,xeralf,fragixeralf,fragixeralf  ndico
alfisol,xeralf,haploxeralf,haploxeralf t¡pico
alfisol,xeralf,haploxeralf,haploxeralf £ltico
alfisol,xeralf,haploxeralf,haploxeralf v‚rtico
alfisol,xeralf,haploxeralf,haploxeralf vitr ndico
alfisol,xeralf,haploxeralf,haploxeralf l¡tico
alfisol,xeralf,haploxeralf,haploxeralf m¢lico l¡tico
alfisol,xeralf,haploxeralf,haploxeralf inc‚ptico-r£ptico l¡tico
alfisol,xeralf,haploxeralf,haploxeralf m¢lico
alfisol,xeralf,haploxeralf,haploxeralf n trico
alfisol,xeralf,haploxeralf,haploxeralf pl¡ntico
alfisol,xeralf,haploxeralf,haploxeralf psamm‚ntico
alfisol,xeralf,haploxeralf,haploxeralf  cuico
alfisol,xeralf,haploxeralf,haploxeralf ac£ltico
alfisol,xeralf,haploxeralf,haploxeralf c lcico
alfisol,xeralf,haploxeralf,haploxeralf fragi cuico
alfisol,xeralf,haploxeralf,haploxeralf fr gico
alfisol,xeralf,haploxeralf,haploxeralf inc‚ptico
alfisol,xeralf,haploxeralf,haploxeralf lam‚lico
alfisol,xeralf,haploxeralf,haploxeralf  ndico
alfisol,xeralf,haploxeralf,haploxeralf acu ndico
alfisol,xeralf,natrixeralf,natrixeralf t¡pico
alfisol,xeralf,natrixeralf,natrixeralf v‚rtico
alfisol,xeralf,natrixeralf,natrixeralf  cuico
alfisol,xeralf,palexeralf,palexeralf t¡pico
alfisol,xeralf,palexeralf,palexeralf £ltico
alfisol,xeralf,palexeralf,palexeralf v‚rtico
alfisol,xeralf,palexeralf,palexeralf vitr ndico
alfisol,xeralf,palexeralf,palexeralf m¢lico
alfisol,xeralf,palexeralf,palexeralf n trico
alfisol,xeralf,palexeralf,palexeralf petroc lcico
alfisol,xeralf,palexeralf,palexeralf pl¡ntico
alfisol,xeralf,palexeralf,palexeralf psamm‚ntico
alfisol,xeralf,palexeralf,palexeralf  cuico
alfisol,xeralf,palexeralf,palexeralf ar‚nico
alfisol,xeralf,palexeralf,palexeralf c lcico
alfisol,xeralf,palexeralf,palexeralf fragi cuico
alfisol,xeralf,palexeralf,palexeralf fr gico
alfisol,xeralf,palexeralf,palexeralf h plico
alfisol,xeralf,palexeralf,palexeralf lam‚lico
alfisol,xeralf,palexeralf,palexeralf  ndico
alfisol,xeralf,palexeralf,palexeralf acu ndico
alfisol,xeralf,plintoxeralf,plintoxeralf t¡pico
alfisol,xeralf,rodoxeralf,rodoxeralf t¡pico
alfisol,xeralf,rodoxeralf,rodoxeralf v‚rtico
alfisol,xeralf,rodoxeralf,rodoxeralf l¡tico
alfisol,xeralf,rodoxeralf,rodoxeralf petroc lcico
alfisol,xeralf,rodoxeralf,rodoxeralf c lcico
alfisol,xeralf,rodoxeralf,rodoxeralf inc‚ptico
andisol,acuand,criacuand,criacuand t¡pico
andisol,acuand,criacuand,criacuand l¡tico
andisol,acuand,criacuand,criacuand h¡stico
andisol,acuand,criacuand,criacuand th ptico
andisol,acuand,duracuand,duracuand t¡pico
andisol,acuand,duracuand,duracuand h¡stico
andisol,acuand,duracuand,duracuand acracu¢xico
andisol,acuand,duracuand,duracuand th ptico
andisol,acuand,endoacuand,endoacuand t¡pico
andisol,acuand,endoacuand,endoacuand l¡tico
andisol,acuand,endoacuand,endoacuand d£rico
andisol,acuand,endoacuand,endoacuand h¡stico
andisol,acuand,endoacuand,endoacuand h¡drico
andisol,acuand,endoacuand,endoacuand  lico
andisol,acuand,endoacuand,endoacuand th ptico
andisol,acuand,epiacuand,epiacuand t¡pico
andisol,acuand,epiacuand,epiacuand d£rico
andisol,acuand,epiacuand,epiacuand h¡stico
andisol,acuand,epiacuand,epiacuand h¡drico
andisol,acuand,epiacuand,epiacuand  lico
andisol,acuand,epiacuand,epiacuand th ptico
andisol,acuand,gelacuand,gelacuand t£rbico
andisol,acuand,gelacuand,gelacuand t¡pico
andisol,acuand,gelacuand,gelacuand h¡stico
andisol,acuand,gelacuand,gelacuand th ptico
andisol,acuand,melanacuand,melanacuand t¡pico
andisol,acuand,melanacuand,melanacuand l¡tico
andisol,acuand,melanacuand,melanacuand p quico
andisol,acuand,melanacuand,melanacuand h¡drico
andisol,acuand,melanacuand,melanacuand p quico h¡drico
andisol,acuand,melanacuand,melanacuand acracu¢xico
andisol,acuand,melanacuand,melanacuand th ptico
andisol,acuand,placacuand,placacuand t¡pico
andisol,acuand,placacuand,placacuand l¡tico
andisol,acuand,placacuand,placacuand h¡stico d£rico
andisol,acuand,placacuand,placacuand d£rico
andisol,acuand,placacuand,placacuand h¡stico
andisol,acuand,placacuand,placacuand th ptico
andisol,acuand,vitracuand,vitracuand t¡pico
andisol,acuand,vitracuand,vitracuand l¡tico
andisol,acuand,vitracuand,vitracuand d£rico
andisol,acuand,vitracuand,vitracuand h¡stico
andisol,acuand,vitracuand,vitracuand th ptico
andisol,criand,duricriand,duricriand t¡pico
andisol,criand,duricriand,duricriand oxi cuico
andisol,criand,duricriand,duricriand ‚utrico
andisol,criand,duricriand,duricriand oxi cuico ‚utrico
andisol,criand,duricriand,duricriand  cuico
andisol,criand,fulvicriand,fulvicriand t¡pico
andisol,criand,fulvicriand,fulvicriand v¡trico
andisol,criand,fulvicriand,fulvicriand l¡tico
andisol,criand,fulvicriand,fulvicriand p quico
andisol,criand,fulvicriand,fulvicriand ‚utrico
andisol,criand,fulvicriand,fulvicriand p quico ‚utrico
andisol,criand,fulvicriand,fulvicriand fol¡stico
andisol,criand,haplocriand,haplocriand t¡pico
andisol,criand,haplocriand,haplocriand v¡trico
andisol,criand,haplocriand,haplocriand l¡tico
andisol,criand,haplocriand,haplocriand oxi cuico
andisol,criand,haplocriand,haplocriand  cuico
andisol,criand,haplocriand,haplocriand fol¡stico
andisol,criand,haplocriand,haplocriand x‚rico
andisol,criand,haplocriand,haplocriand acrud¢xico
andisol,criand,haplocriand,haplocriand  lico
andisol,criand,haplocriand,haplocriand sp¢dico
andisol,criand,haplocriand,haplocriand th ptico
andisol,criand,hidrocriand,hidrocriand t¡pico
andisol,criand,hidrocriand,hidrocriand l¡tico
andisol,criand,hidrocriand,hidrocriand pl cico
andisol,criand,hidrocriand,hidrocriand  cuico
andisol,criand,hidrocriand,hidrocriand th ptico
andisol,criand,melanocriand,melanocriand t¡pico
andisol,criand,melanocriand,melanocriand v¡trico
andisol,criand,melanocriand,melanocriand l¡tico
andisol,criand,vitricriand,vitricriand t¡pico
andisol,criand,vitricriand,vitricriand £ltico
andisol,criand,vitricriand,vitricriand l¡tico
andisol,criand,vitricriand,vitricriand oxi cuico
andisol,criand,vitricriand,vitricriand  cuico
andisol,criand,vitricriand,vitricriand fol¡stico
andisol,criand,vitricriand,vitricriand x‚rico
andisol,criand,vitricriand,vitricriand h£mico
andisol,criand,vitricriand,vitricriand x‚rico h£mico
andisol,criand,vitricriand,vitricriand  lfico
andisol,criand,vitricriand,vitricriand sp¢dico
andisol,criand,vitricriand,vitricriand th ptico
andisol,geland,vitrigeland,vitrigeland t£rbico
andisol,geland,vitrigeland,vitrigeland t¡pico
andisol,geland,vitrigeland,vitrigeland h£mico
andisol,torrand,duritorrand,duritorrand t¡pico
andisol,torrand,duritorrand,duritorrand v¡trico
andisol,torrand,duritorrand,duritorrand petroc lcico
andisol,torrand,haplotorrand,haplotorrand t¡pico
andisol,torrand,haplotorrand,haplotorrand l¡tico
andisol,torrand,haplotorrand,haplotorrand c lcico
andisol,torrand,haplotorrand,haplotorrand d£rico
andisol,torrand,vitritorrand,vitritorrand t¡pico
andisol,torrand,vitritorrand,vitritorrand l¡tico
andisol,torrand,vitritorrand,vitritorrand  cuico
andisol,torrand,vitritorrand,vitritorrand c lcico
andisol,torrand,vitritorrand,vitritorrand d£rico
andisol,udand,durudand,durudand t¡pico
andisol,udand,durudand,durudand p quico
andisol,udand,durudand,durudand  cuico
andisol,udand,durudand,durudand ‚utrico
andisol,udand,durudand,durudand h¡drico
andisol,udand,durudand,durudand acrud¢xico
andisol,udand,fulvudand,fulvudand t¡pico
andisol,udand,fulvudand,fulvudand £ltico
andisol,udand,fulvudand,fulvudand l¡tico
andisol,udand,fulvudand,fulvudand oxi cuico
andisol,udand,fulvudand,fulvudand p quico
andisol,udand,fulvudand,fulvudand  cuico
andisol,udand,fulvudand,fulvudand ‚utrico
andisol,udand,fulvudand,fulvudand l¡tico ‚utrico
andisol,udand,fulvudand,fulvudand p quico ‚utrico
andisol,udand,fulvudand,fulvudand h¡drico
andisol,udand,fulvudand,fulvudand acrud¢xico
andisol,udand,fulvudand,fulvudand th ptico
andisol,udand,hapludand,hapludand t¡pico
andisol,udand,hapludand,hapludand £ltico
andisol,udand,hapludand,hapludand v¡trico
andisol,udand,hapludand,hapludand l¡tico
andisol,udand,hapludand,hapludand ¢xico
andisol,udand,hapludand,hapludand oxi cuico
andisol,udand,hapludand,hapludand  cuico
andisol,udand,hapludand,hapludand d£rico
andisol,udand,hapludand,hapludand ‚utrico
andisol,udand,hapludand,hapludand th ptico ‚utrico
andisol,udand,hapludand,hapludand h¡drico
andisol,udand,hapludand,hapludand th ptico h¡drico
andisol,udand,hapludand,hapludand acrud¢xico
andisol,udand,hapludand,hapludand h¡drico acrud¢xico
andisol,udand,hapludand,hapludand th ptico acrud¢xico
andisol,udand,hapludand,hapludand £ltico acrud¢xico
andisol,udand,hapludand,hapludand  lfico
andisol,udand,hapludand,hapludand  lico
andisol,udand,hapludand,hapludand antr cuico
andisol,udand,hapludand,hapludand d£rico  cuico
andisol,udand,hapludand,hapludand th ptico
andisol,udand,hidrudand,hidrudand t¡pico
andisol,udand,hidrudand,hidrudand £ltico
andisol,udand,hidrudand,hidrudand l¡tico
andisol,udand,hidrudand,hidrudand  cuico
andisol,udand,hidrudand,hidrudand ‚utrico
andisol,udand,hidrudand,hidrudand acrud¢xico
andisol,udand,hidrudand,hidrudand th ptico acrud¢xico
andisol,udand,hidrudand,hidrudand th ptico
andisol,udand,melanudand,melanudand t¡pico
andisol,udand,melanudand,melanudand £ltico
andisol,udand,melanudand,melanudand v¡trico
andisol,udand,melanudand,melanudand l¡tico
andisol,udand,melanudand,melanudand p quico
andisol,udand,melanudand,melanudand v¡trico p quico
andisol,udand,melanudand,melanudand  cuico
andisol,udand,melanudand,melanudand ‚utrico
andisol,udand,melanudand,melanudand h¡drico
andisol,udand,melanudand,melanudand p quico h¡drico
andisol,udand,melanudand,melanudand h¡drico acrud¢xico
andisol,udand,melanudand,melanudand acrud¢xico
andisol,udand,melanudand,melanudand v¡trico acrud¢xico
